171;6500.00;
171;9500.00;
227;1500.00;
333;2750.00;
350;1520.00;
596;400.00;
1211;1800.00;
1296;7800.00;
1506;300.00;
1599;150.00;
1627;660.00;
1650;580.00;
2085;500.00;
2475;1100.00;
2677;6000.00;
4896;3956.00;
5550;186.00;
5688;350.00;
7088;1500.00;
7983;1500.00;
8764;120.00;
8766;940.00;
8849;7500.00;
8850;11500.00;
8851;824.00;
8852;23000.00;
9027;270.00;
9028;1600.00;
9029;2000.00;
9030;2400.00;
9043;20.00;
9050;5000.00;
9068;50.00;
9078;600.00;
9083;1200.00;
9086;600.00;
9087;600.00;
9088;600.00;
9109;720.00;
9110;620.00;
9116;600.00;
9117;3650.00;
9119;7300.00;
9120;10500.00;
9121;6500.00;
9126;24.00;
9181;350.00;
9197;90.00;
9198;190.00;
9199;190.00;
9200;170.00;
9215;1550.00;
9216;5500.00;
9221;3000.00;
9222;831.27;
9227;1000.00;
9280;3500.00;
9342;15000.00;
9343;60000.00;
9425;3500.00;
9426;2000.00;
9510;1552.00;
9514;9251.00;
9515;49.50;
9534;84.00;
9555;509.00;
9558;624.00;
9560;6040.00;
9612;7000.00;
9630;927.00;
9631;2560.00;
