ASO06044502|20170604|000|00
ASO06044503|20170604|000|00
ASO06054905|20170605|000|00
ASO06054906|20170605|000|00
ASO06054907|20170605|000|00
ASO06054908|20170605|000|00
ASO06054909|20170605|000|00
ASO06054910|20170605|000|00
ASO06054911|20170605|000|00
ASO06054912|20170605|000|00
ASO06054913|20170605|000|00
ASO06054914|20170605|000|00
ASO06064915|20170606|000|00
ASO06064916|20170606|000|00
ASO06064917|20170606|000|00
ASO06064918|20170606|000|00
ASO06064919|20170606|000|00
ASO06064920|20170606|000|00
ASO06064921|20170606|000|00
ASO06064922|20170606|000|00
ASO06064923|20170606|000|00
ASO06064924|20170606|000|00
ASO06074925|20170607|000|00
ASO06074926|20170607|000|00
ASO06074927|20170607|000|00
ASO06074928|20170607|000|00
ASO06074929|20170607|000|00
ASO06074930|20170607|000|00
ASO06074931|20170607|000|00
ASO06074932|20170607|000|00
ASO06074933|20170607|000|00
ASO06074934|20170607|000|00
ASO06084935|20170608|000|00
ASO06084936|20170608|000|00
ASO06084937|20170608|000|00
ASO06084938|20170608|000|00
ASO06084939|20170608|000|00
ASO06084940|20170608|000|00
ASO06084941|20170608|000|00
ASO06084942|20170608|000|00
ASO06084943|20170608|000|00
ASO06084944|20170608|000|00
ASO06094951|20170609|000|00
ASO06094952|20170609|000|00
ASO06094953|20170609|000|00
ASO06094954|20170609|000|00
ASO06094955|20170609|000|00
ASO06094956|20170609|000|00
ASO06094957|20170609|000|00
ASO06094958|20170609|000|00
ASO06094959|20170609|000|00
ASO06094960|20170609|000|00
ASO06094961|20170609|000|00
ASO06094962|20170609|000|00
ASO06094963|20170609|000|00
ASO06094964|20170609|000|00
ASO06094965|20170609|000|00
ASO06094966|20170609|000|00
ASO06094967|20170609|000|00
ASO06094968|20170609|000|00
ASO06094969|20170609|000|00
ASO06094970|20170609|000|00
ASO06094971|20170609|000|00
ASO06094972|20170609|000|00
ASO06094973|20170609|000|00
ASO06094974|20170609|000|00
ASO06094945|20170609|000|00
ASO06094946|20170609|000|00
ASO06094947|20170609|000|00
ASO06094948|20170609|000|00
ASO06094949|20170609|000|00
ASO06094950|20170609|000|00
